2024-09-11 14:32:50,Madison,23\u00baC
2024-09-11 14:32:52,Beijing,29\u00baC
2024-09-11 14:32:53,Beijing,31\u00baC
2024-09-11 14:32:54,Beijing,30\u00baC
2024-09-11 14:32:55,Beijing,27\u00baC
2024-09-11 14:32:56,Beijing,28\u00baC
2024-09-11 14:32:57,Madison,19\u00baC
2024-09-11 14:32:58,Madison,27\u00baC
2024-09-11 14:32:59,Madison,28\u00baC
2024-09-11 14:33:00,Madison,21\u00baC
2024-09-11 14:41:54,pittsburgh,25\u00baC
2024-09-11 14:41:55,pittsburgh,24\u00baC
2024-09-11 14:41:56,pittsburgh,29\u00baC
2024-09-11 14:41:57,new york,28\u00baC
2024-09-11 14:41:58,new york,22\u00baC
2024-09-11 14:41:59,pittsburgh,32\u00baC
2024-09-11 14:42:00,pittsburgh,27\u00baC
2024-09-11 14:42:01,new york,19\u00baC
2024-09-11 14:42:03,new york,32\u00baC
2024-09-11 14:42:04,pittsburgh,28\u00baC
2024-09-11 14:50:49,pittsburgh,21\u00baC
2024-09-11 14:50:50,pittsburgh,23\u00baC
2024-09-11 14:50:51,new york,19\u00baC
2024-09-11 14:50:52,new york,29\u00baC
2024-09-11 14:50:53,new york,23\u00baC
2024-09-11 14:50:54,new york,30\u00baC
2024-09-11 14:50:55,pittsburgh,21\u00baC
2024-09-11 14:50:56,pittsburgh,21\u00baC
2024-09-11 14:50:57,new york,26\u00baC
2024-09-11 14:50:58,pittsburgh,19\u00baC
2024-09-11 14:52:19,pittsburgh,29\u00baC
2024-09-11 14:52:20,pittsburgh,29\u00baC
2024-09-11 14:52:21,pittsburgh,21\u00baC
2024-09-11 14:52:22,new york,25\u00baC
2024-09-11 14:52:23,pittsburgh,30\u00baC
2024-09-11 14:52:24,pittsburgh,29\u00baC
2024-09-11 14:52:25,new york,23\u00baC
2024-09-11 14:52:26,new york,30\u00baC
2024-09-11 14:52:27,new york,24\u00baC
2024-09-11 14:52:28,pittsburgh,27\u00baC
2024-09-11 14:53:16,pittsburgh,30\u00baC
2024-09-11 14:53:17,new york,31\u00baC
2024-09-11 14:53:18,new york,19\u00baC
2024-09-11 14:53:19,pittsburgh,31\u00baC
2024-09-11 14:53:20,pittsburgh,25\u00baC
2024-09-11 14:53:21,pittsburgh,18\u00baC
2024-09-11 14:53:22,pittsburgh,30\u00baC
2024-09-11 14:53:23,new york,30\u00baC
2024-09-11 14:53:24,pittsburgh,21\u00baC
2024-09-11 14:53:25,new york,21\u00baC
2024-09-11 18:56:39,New York,21\u00baC
2024-09-11 18:56:40,Seattle,27\u00baC
2024-09-11 18:56:41,New York,23\u00baC
2024-09-11 18:56:42,San Francisco,22\u00baC
2024-09-11 18:56:43,Seattle,18\u00baC
2024-09-11 18:56:44,Seattle,30\u00baC
2024-09-11 18:56:45,New York,25\u00baC
2024-09-11 18:56:46,San Francisco,21\u00baC
2024-09-11 18:56:47,New York,27\u00baC
2024-09-11 18:56:48,Seattle,19\u00baC
